Ticker,Date,Alpha,Unemployment,ConsumerSentiment,Market,Size,ValueGrowth,AlphaStd,UnemploymentStd,ConsumerSentimentStd,MarketStd,SizeStd,ValueGrowthStd,TotalRisk,DiversifiableRisk,NonDiversifiableRisk
CSCO,2014-09-30,0.009,-0.284,-0.004,1.321,-0.38,-0.003,0.058,0.695,0.154,0.241,0.426,0.46,26.437,17.096,20.166
CSX,2014-09-30,-0.041,0.485,-0.075,1.288,0.138,-0.043,0.039,0.463,0.103,0.16,0.284,0.306,22.549,18.205,13.307
CTAS,2014-09-30,0.06,-0.678,-0.028,0.882,-0.092,-0.085,0.035,0.417,0.093,0.144,0.256,0.276,17.187,12.235,12.07
CTL,2014-09-30,-0.031,0.38,-0.045,0.858,-0.921,0.042,0.048,0.57,0.127,0.197,0.349,0.377,19.577,10.409,16.58
CTSH,2014-09-30,-0.076,0.929,-0.072,1.167,0.266,-0.27,0.055,0.651,0.145,0.225,0.399,0.431,25.464,17.099,18.87
CVC,2014-09-30,-0.011,-0.154,0.673,1.11,0.18,1.034,0.127,1.515,0.336,0.524,0.928,1.002,49.691,22.906,44.096
D,2014-09-30,-0.023,0.425,-0.134,0.309,-0.171,0.259,0.032,0.378,0.084,0.131,0.232,0.25,12.182,5.199,11.016
DAL,2014-09-30,0.119,-1.183,0.309,0.456,1.581,0.038,0.102,1.215,0.27,0.42,0.744,0.804,39.712,18.059,35.369
DE,2014-09-30,-0.138,1.651,-0.321,1.332,-0.464,0.302,0.05,0.594,0.132,0.205,0.364,0.393,25.62,19.042,17.14
DFS,2014-09-30,0.022,-0.122,-0.004,1.015,0.035,-0.283,0.049,0.582,0.129,0.201,0.356,0.385,21.799,13.794,16.879
DG,2014-09-30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DGX,2014-09-30,-0.023,0.223,0.063,0.694,0.019,-0.183,0.048,0.567,0.126,0.196,0.347,0.375,19.01,9.448,16.495
DIS,2014-09-30,-0.011,0.207,0.088,1.169,-0.197,0.27,0.037,0.443,0.098,0.153,0.271,0.293,20.413,15.932,12.763
DISCA,2014-09-30,-0.207,2.473,-0.115,1.037,-0.522,0.599,0.085,1.011,0.224,0.35,0.619,0.668,33.703,16.469,29.405
DLPH,2014-09-30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DLTR,2014-09-30,-0.054,0.871,-0.095,0.325,0.362,-0.748,0.051,0.604,0.134,0.209,0.37,0.4,19.468,8.331,17.596
DNB,2014-09-30,0.01,-0.166,0.199,1.019,-0.213,-0.032,0.048,0.571,0.127,0.197,0.35,0.377,21.545,13.794,16.55
DNR,2014-09-30,-0.087,0.851,-0.001,1.524,1.277,0.239,0.07,0.834,0.185,0.289,0.511,0.552,36.657,27.637,24.083
DOV,2014-09-30,-0.077,0.903,0.087,1.318,0.368,-0.108,0.048,0.576,0.128,0.199,0.353,0.381,25.793,19.744,16.597
DOW,2014-09-30,0.007,-0.14,-0.057,1.603,0.205,0.047,0.049,0.589,0.131,0.204,0.361,0.39,28.54,22.975,16.933
DRI,2014-09-30,-0.062,0.747,0.092,0.814,0.013,0.019,0.051,0.608,0.135,0.21,0.373,0.402,21.135,11.578,17.681
DTE,2014-09-30,-0.034,0.569,-0.102,0.343,-0.278,0.465,0.034,0.409,0.091,0.141,0.25,0.27,13.321,5.993,11.897
DTV,2014-09-30,-0.014,0.263,-0.063,0.995,-0.098,-0.095,0.05,0.599,0.133,0.207,0.367,0.396,21.831,13.205,17.385
DUK,2014-09-30,-0.04,0.671,-0.103,0.201,-0.359,0.172,0.033,0.397,0.088,0.137,0.243,0.263,12.353,4.313,11.575
DVA,2014-09-30,-0.083,1.01,0.297,0.639,-0.578,0.53,0.081,0.969,0.215,0.335,0.593,0.641,30.135,10.559,28.225
EBAY,2014-09-30,-0.054,0.654,0.101,1.217,-0.955,-0.695,0.06,0.717,0.159,0.248,0.439,0.474,25.22,14.193,20.847
ECL,2014-09-30,0.043,-0.396,-0.172,0.481,0.445,0.198,0.038,0.456,0.101,0.158,0.279,0.301,16.378,9.653,13.231
ED,2014-09-30,-0.053,0.728,-0.118,0.267,-0.512,0.135,0.034,0.408,0.091,0.141,0.25,0.27,12.969,5.205,11.879
EFX,2014-09-30,-0.003,0.125,-0.069,0.8,-0.054,0.461,0.04,0.479,0.106,0.166,0.293,0.317,18.258,11.861,13.881
EIX,2014-09-30,-0.004,0.128,-0.039,0.452,-0.214,0.329,0.044,0.522,0.116,0.18,0.32,0.345,16.502,6.423,15.2
EMC,2014-09-30,-0.036,0.358,0.201,1.235,0.131,-0.554,0.048,0.568,0.126,0.197,0.348,0.376,23.881,17.331,16.429
EMN,2014-09-30,-0.074,0.896,-0.07,1.693,0.09,-0.11,0.049,0.584,0.13,0.202,0.358,0.386,28.888,23.528,16.761
HAS,2014-09-30,-0.024,0.313,-0.034,1.004,0.243,-0.68,0.05,0.594,0.132,0.206,0.364,0.393,22.47,14.413,17.237
EMR,2014-09-30,-0.068,0.767,-0.093,1.211,0.134,0.304,0.041,0.494,0.11,0.171,0.303,0.327,22.827,17.84,14.241
EOG,2014-09-30,0.03,-0.298,-0.05,0.907,0.915,0.393,0.067,0.798,0.177,0.276,0.489,0.528,29.202,17.768,23.175
EQT,2014-09-30,0.003,0.035,-0.166,0.747,0.389,0.0,0.065,0.773,0.172,0.267,0.474,0.511,25.629,12.284,22.494
ESRX,2014-09-30,-0.008,-0.078,0.061,1.298,0.411,0.34,0.08,0.948,0.211,0.328,0.581,0.627,34.207,20.281,27.546
FDO,2014-09-30,-0.038,0.652,-0.025,0.369,0.229,-0.647,0.066,0.791,0.176,0.274,0.484,0.523,24.145,7.181,23.053
ESV,2014-09-30,-0.133,1.465,-0.143,1.334,-0.375,0.109,0.065,0.769,0.171,0.266,0.471,0.509,28.66,17.977,22.321
MET,2014-09-30,-0.02,0.101,0.201,1.635,0.269,0.764,0.044,0.53,0.118,0.183,0.325,0.351,29.652,25.516,15.106
ETN,2014-09-30,-0.11,1.297,0.008,1.548,0.191,-0.255,0.049,0.589,0.131,0.204,0.361,0.39,27.8,22.031,16.955
ETR,2014-09-30,0.023,-0.274,-0.04,0.392,-0.544,0.726,0.041,0.492,0.109,0.17,0.301,0.325,16.236,7.666,14.312
EW,2014-09-30,-0.037,0.607,0.076,0.502,0.387,-0.495,0.078,0.926,0.206,0.32,0.567,0.613,28.487,9.086,26.999
NOC,2014-09-30,0.008,-0.241,0.671,1.385,-1.482,0.674,0.1,1.197,0.266,0.414,0.734,0.792,41.038,21.715,34.822
EXPD,2014-09-30,-0.053,0.574,-0.204,0.849,0.971,0.151,0.053,0.631,0.14,0.218,0.386,0.417,25.107,17.223,18.268
FB,2014-09-30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FDX,2014-09-30,0.016,-0.211,-0.136,1.261,0.058,0.232,0.047,0.563,0.125,0.195,0.345,0.372,24.386,18.181,16.252
FE,2014-09-30,-0.032,0.338,-0.046,0.407,-0.65,0.163,0.055,0.654,0.145,0.226,0.401,0.433,19.895,5.682,19.067
FIS,2014-09-30,0.041,-0.42,0.104,0.646,0.412,0.355,0.046,0.552,0.123,0.191,0.338,0.365,20.022,11.977,16.044
FISV,2014-09-30,0.022,-0.216,0.039,0.958,-0.035,0.042,0.029,0.348,0.077,0.12,0.213,0.23,16.601,13.245,10.008
FLIR,2014-09-30,0.019,-0.272,0.139,0.497,0.86,0.086,0.062,0.744,0.165,0.257,0.455,0.492,24.832,12.19,21.635
FLR,2014-09-30,-0.037,0.367,-0.161,1.105,1.502,0.622,0.054,0.648,0.144,0.224,0.397,0.428,30.587,24.255,18.635
FMC,2014-09-30,-0.098,1.201,-0.133,0.971,0.306,0.171,0.043,0.517,0.115,0.179,0.317,0.342,21.626,15.616,14.961
FRX,2014-09-30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FTI,2014-09-30,-0.109,1.321,-0.122,1.173,-0.082,0.193,0.063,0.748,0.166,0.259,0.458,0.495,27.444,16.765,21.727
FTR,2014-09-30,0.041,-0.493,-0.161,0.657,-0.333,0.646,0.063,0.752,0.167,0.26,0.461,0.497,24.393,10.75,21.896
GAS,2014-09-30,0.007,-0.006,-0.202,0.361,-0.024,0.394,0.03,0.352,0.078,0.122,0.215,0.233,12.342,6.921,10.219
GCI,2014-09-30,0.03,-0.253,0.566,0.716,2.133,1.159,0.079,0.944,0.21,0.327,0.578,0.625,39.278,28.234,27.307
GE,2014-09-30,-0.065,0.716,0.11,1.371,-0.501,1.039,0.039,0.469,0.104,0.162,0.287,0.31,24.02,19.909,13.438
GHC,2014-09-30,0.082,-0.996,-0.05,0.741,1.216,0.413,0.044,0.524,0.116,0.181,0.321,0.346,23.448,17.936,15.102
GILD,2014-09-30,0.187,-2.078,0.109,0.865,-0.35,-0.919,0.067,0.794,0.176,0.275,0.487,0.525,27.206,14.382,23.094
GPS,2014-09-30,-0.007,0.078,0.231,1.183,0.186,0.02,0.075,0.889,0.197,0.308,0.545,0.588,31.268,17.6,25.844
GRMN,2014-09-30,0.029,-0.341,-0.076,0.828,0.411,0.477,0.064,0.761,0.169,0.263,0.466,0.503,26.364,14.357,22.113
GS,2014-09-30,0.05,-0.809,0.045,1.531,-0.085,-0.001,0.056,0.673,0.149,0.233,0.412,0.445,28.84,21.296,19.448
GWW,2014-09-30,-0.096,1.235,-0.091,1.091,-0.507,-0.224,0.035,0.414,0.092,0.143,0.254,0.274,18.306,13.872,11.944
HAL,2014-09-30,-0.013,0.163,-0.313,1.47,0.117,-0.313,0.071,0.847,0.188,0.293,0.519,0.56,32.316,21.019,24.547
HAR,2014-09-30,0.021,-0.215,0.043,1.538,0.32,-0.671,0.105,1.253,0.278,0.434,0.768,0.829,42.514,21.864,36.461
HBAN,2014-09-30,-0.029,0.44,0.205,0.634,0.874,1.656,0.062,0.744,0.165,0.257,0.456,0.492,28.948,19.307,21.57
HCBK,2014-09-30,0.019,-0.395,0.476,0.951,-0.108,0.57,0.049,0.583,0.129,0.202,0.357,0.385,23.898,16.941,16.855
HCN,2014-09-30,-0.042,0.572,-0.187,0.572,-0.672,0.027,0.044,0.524,0.116,0.181,0.321,0.347,17.261,8.075,15.256
HD,2014-09-30,-0.029,0.479,0.201,0.965,-0.065,0.718,0.039,0.465,0.103,0.161,0.285,0.307,20.324,15.273,13.409
HES,2014-09-30,-0.039,0.355,-0.043,1.694,-0.449,0.229,0.055,0.66,0.146,0.228,0.404,0.436,29.198,22.146,19.028
HOG,2014-09-30,-0.136,1.684,-0.349,1.422,-0.31,1.05,0.068,0.806,0.179,0.279,0.494,0.533,32.319,22.361,23.335
HON,2014-09-30,-0.049,0.62,0.086,1.184,0.205,0.211,0.025,0.299,0.066,0.103,0.183,0.198,19.497,17.581,8.428
HOT,2014-09-30,-0.074,0.854,0.069,1.714,0.713,0.424,0.045,0.537,0.119,0.186,0.329,0.355,31.474,27.532,15.252
HP,2014-09-30,0.024,-0.219,-0.103,1.016,0.851,0.303,0.072,0.863,0.192,0.299,0.529,0.571,31.228,18.623,25.067
HRB,2014-09-30,0.064,-0.721,0.075,0.727,0.748,0.236,0.073,0.876,0.194,0.303,0.536,0.579,29.388,14.646,25.479
HRL,2014-09-30,0.003,0.122,0.062,0.494,0.253,-0.112,0.037,0.441,0.098,0.153,0.27,0.292,15.061,7.895,12.825
HRS,2014-09-30,-0.007,0.056,-0.063,1.144,0.285,-0.335,0.052,0.616,0.137,0.213,0.377,0.408,24.329,16.534,17.847
HSP,2014-09-30,0.065,-0.816,-0.011,0.49,0.151,-0.405,0.068,0.808,0.179,0.279,0.495,0.534,24.861,7.965,23.55
HST,2014-09-30,-0.058,0.615,0.2,1.515,0.519,0.591,0.049,0.584,0.13,0.202,0.358,0.386,29.728,24.571,16.734
HSY,2014-09-30,-0.01,0.327,-0.051,0.045,0.529,0.297,0.042,0.499,0.111,0.173,0.306,0.33,15.448,5.233,14.535
HUM,2014-09-30,0.009,0.069,0.04,0.655,0.316,-0.485,0.067,0.796,0.177,0.275,0.488,0.526,25.307,10.149,23.183
IBM,2014-09-30,-0.073,0.885,0.065,0.762,-0.49,-0.17,0.032,0.385,0.085,0.133,0.236,0.255,14.548,9.321,11.17
ICE,2014-09-30,-0.046,0.557,0.132,0.957,-0.421,-0.081,0.053,0.627,0.139,0.217,0.384,0.414,21.778,11.937,18.216
INTU,2014-09-30,-0.028,0.467,-0.045,0.723,0.066,-0.05,0.041,0.489,0.109,0.169,0.299,0.323,17.49,10.217,14.196
IGT,2014-09-30,0.038,-0.593,0.055,0.872,1.07,0.716,0.078,0.925,0.205,0.32,0.567,0.612,33.104,19.321,26.881
INTC,2014-09-30,0.027,-0.307,0.064,0.901,-0.074,-0.109,0.05,0.593,0.132,0.205,0.363,0.392,21.105,12.192,17.227
ISRG,2014-09-30,-0.054,0.696,-0.01,0.713,-0.025,0.172,0.081,0.966,0.214,0.334,0.592,0.639,29.935,10.189,28.147
ITW,2014-09-30,-0.029,0.331,0.189,1.208,-0.099,-0.089,0.04,0.475,0.106,0.164,0.291,0.314,21.381,16.414,13.702
JBL,2014-09-30,-0.095,1.03,0.226,1.595,0.789,-1.0,0.09,1.068,0.237,0.369,0.654,0.706,40.039,25.364,30.98
JEC,2014-09-30,-0.047,0.422,0.128,1.119,0.861,0.81,0.058,0.695,0.154,0.24,0.426,0.46,29.412,21.493,20.078
JNPR,2014-09-30,-0.042,0.242,0.096,1.651,0.663,-0.099,0.083,0.991,0.22,0.343,0.607,0.655,38.397,25.495,28.712
OMC,2014-09-30,-0.04,0.438,0.054,1.271,0.42,-0.056,0.035,0.413,0.092,0.143,0.253,0.273,22.531,19.202,11.786
KIM,2014-09-30,-0.072,0.845,-0.042,1.238,-0.188,0.132,0.046,0.548,0.122,0.189,0.336,0.362,22.979,16.655,15.832
KLAC,2014-09-30,0.01,-0.115,-0.057,1.282,0.771,0.223,0.059,0.701,0.156,0.242,0.429,0.464,29.548,21.508,20.26
KMB,2014-09-30,-0.016,0.314,-0.163,0.366,-0.767,0.047,0.033,0.393,0.087,0.136,0.241,0.26,13.184,6.581,11.424
KMI,2014-09-30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
KO,2014-09-30,-0.023,0.311,-0.141,0.624,-0.531,-0.119,0.032,0.384,0.085,0.133,0.235,0.254,13.686,7.911,11.168
KR,2014-09-30,0.064,-0.658,-0.145,0.689,-0.107,-0.092,0.05,0.599,0.133,0.207,0.367,0.396,20.051,9.932,17.418
KRFT,2014-09-30,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
LEN,2014-09-30,-0.058,0.744,0.285,1.226,0.729,0.877,0.067,0.8,0.178,0.277,0.49,0.529,32.665,23.04,23.155
KSS,2014-09-30,0.016,-0.262,0.132,0.712,-0.164,0.14,0.056,0.668,0.148,0.231,0.409,0.442,21.873,9.993,19.456
KSU,2014-09-30,-0.105,1.413,0.017,1.241,0.114,0.757,0.056,0.672,0.149,0.233,0.412,0.445,27.616,19.605,19.45
L,2014-09-30,-0.067,0.703,-0.055,1.008,-0.251,0.198,0.028,0.333,0.074,0.115,0.204,0.22,16.505,13.449,9.568
LLL,2014-09-30,0.051,-0.656,0.073,0.891,0.623,0.409,0.04,0.474,0.105,0.164,0.29,0.313,21.35,16.409,13.658
LM,2014-09-30,0.064,-0.826,0.067,1.076,0.865,0.409,0.047,0.563,0.125,0.195,0.345,0.372,25.877,20.175,16.205
LMT,2014-09-30,0.073,-0.771,0.016,0.697,-0.318,0.435,0.038,0.452,0.1,0.156,0.277,0.299,16.888,10.631,13.122
MTB,2014-09-30,-0.033,0.52,0.213,0.381,0.083,1.058,0.038,0.449,0.1,0.155,0.275,0.297,16.829,10.663,13.02
LNC,2014-09-30,0.033,-0.482,0.193,1.666,0.396,0.779,0.051,0.606,0.135,0.21,0.371,0.401,31.876,26.747,17.341
LO,2014-09-30,0.017,-0.047,-0.336,0.52,-0.543,-0.226,0.057,0.68,0.151,0.235,0.417,0.45,21.8,9.091,19.814
MKC,2014-09-30,-0.061,0.825,0.04,0.477,-0.167,0.3,0.033,0.395,0.088,0.137,0.242,0.261,13.547,7.198,11.477
PAYX,2014-09-30,-0.018,0.181,0.176,1.034,-0.429,0.017,0.025,0.295,0.066,0.102,0.181,0.195,15.696,13.231,8.443
PBCT,2014-09-30,-0.001,-0.07,0.187,0.706,-0.028,0.211,0.036,0.424,0.094,0.147,0.26,0.281,16.287,10.678,12.298
PCAR,2014-09-30,-0.056,0.57,0.054,1.465,0.441,-0.222,0.057,0.677,0.15,0.234,0.415,0.448,29.246,21.741,19.562
PCG,2014-09-30,-0.017,0.224,-0.092,0.388,-0.376,0.145,0.04,0.472,0.105,0.163,0.289,0.313,14.733,5.247,13.767
PG,2014-09-30,-0.03,0.392,0.048,0.585,-0.905,0.221,0.029,0.35,0.078,0.121,0.214,0.231,12.818,7.826,10.151
PPL,2014-09-30,0.017,-0.184,-0.117,0.362,-0.438,-0.2,0.039,0.463,0.103,0.16,0.283,0.306,14.454,5.217,13.48
RDC,2014-09-30,-0.17,1.89,-0.271,1.551,-0.159,0.255,0.062,0.736,0.163,0.255,0.451,0.487,30.987,22.521,21.283
